epoch,val_error1,val_error5,val_loss,train_error1,train_error5,train_loss
1,1.0,1.0,0.0011536641892658235,1.0,1.0,0.001142886932939291
2,1.0,1.0,0.0008971761019389656,1.0,1.0,0.0012510422384366393
3,1.0,1.0,0.0008196259806793689,1.0,1.0,0.0007741887238807976
4,1.0,1.0,0.0007357767727764173,1.0,1.0,0.0012884674360975623
5,1.0,1.0,0.0008087597454130958,1.0,1.0,0.0017449621809646487
6,1.0,1.0,0.0008046935598679979,1.0,1.0,0.0004505593969952315
7,1.0,1.0,0.0007730701291144732,1.0,1.0,0.0015139038441702724
8,1.0,1.0,0.0007263406172355547,1.0,1.0,0.00034761318238452077
9,1.0,1.0,0.0007597429227439732,1.0,1.0,0.0012896816479042172
10,1.0,1.0,0.000831894584617232,1.0,1.0,0.0004900554777123034
11,1.0,1.0,0.0007461700380646282,1.0,1.0,0.0006566295051015913
12,1.0,1.0,0.0007221886362913572,1.0,1.0,0.00040421029552817345
13,1.0,1.0,0.0007351477012713976,1.0,1.0,0.0007307853666134179
14,1.0,1.0,0.0007703920411002601,1.0,1.0,0.0008494030917063355
15,1.0,1.0,0.0007645703060755904,1.0,1.0,0.0002346009132452309
16,1.0,1.0,0.0007182188371540919,1.0,1.0,0.0008294924045912921
17,1.0,1.0,0.0007213202354468989,1.0,1.0,0.0014912034384906292
18,1.0,1.0,0.0007642879693539971,1.0,1.0,0.0008209618972614408
19,1.0,1.0,0.0007231416230268793,1.0,1.0,0.0007254931842908263
20,1.0,1.0,0.0007147807352019421,1.0,1.0,0.0006750102620571852
21,1.0,1.0,0.0007213256635077703,1.0,1.0,0.0005651957471854985
22,1.0,1.0,0.0007217410735065093,1.0,1.0,0.0002617856371216476
23,1.0,1.0,0.0007177895201014863,1.0,1.0,0.0005825075204484165
24,1.0,1.0,0.0007134278359106498,1.0,1.0,0.0006355905206874013
25,1.0,1.0,0.0007167996236986226,1.0,1.0,0.0003342223644722253
26,1.0,1.0,0.00071776972720823,1.0,1.0,0.0007252276409417391
27,1.0,1.0,0.0007161092688079858,1.0,1.0,0.0003996197774540633
28,1.0,1.0,0.0007139922144897304,1.0,1.0,0.00031122626387514174
29,1.0,1.0,0.0007139579211619687,1.0,1.0,0.000603020191192627
30,1.0,1.0,0.000712954322183342,1.0,1.0,0.0006958743324503303
31,1.0,1.0,0.0007137087096041845,1.0,1.0,0.0008512764470651746
32,1.0,1.0,0.000711721560649272,1.0,1.0,0.0010529729770496488
33,1.0,1.0,0.0007129821149775473,1.0,1.0,0.0015779994428157806
34,1.0,1.0,0.0007121726747718177,1.0,1.0,0.0006006762851029634
35,1.0,1.0,0.0007123507995186543,1.0,1.0,0.0004827333614230156
36,1.0,1.0,0.0007123784559478908,1.0,1.0,0.0009940678719431162
37,1.0,1.0,0.0007129502861246997,1.0,1.0,0.00046828098129481077
38,1.0,1.0,0.0007120197780527962,1.0,1.0,0.000595989404246211
39,1.0,1.0,0.0007117179730300317,1.0,1.0,0.0012380004627630115
40,1.0,1.0,0.0007120412062507566,1.0,1.0,0.0008337246836163104
41,1.0,1.0,0.0007149720172727158,1.0,1.0,0.000626318680588156
