epoch,val_error1,val_error5,val_loss,train_error1,train_error5,train_loss
1,1.0,1.0,0.0015718618981045323,1.0,1.0,0.003174110548570752
2,1.0,1.0,0.0012304404265664494,1.0,1.0,0.0019883927889168262
3,1.0,1.0,0.0011767686055817828,1.0,1.0,0.0011701061157509685
4,1.0,1.0,0.0011629551472760015,1.0,1.0,0.0018272479064762592
5,1.0,1.0,0.0011620185009889583,1.0,1.0,0.0029470943845808506
6,1.0,1.0,0.001151702561873626,1.0,1.0,0.0008359254570677876
7,1.0,1.0,0.0011447486160670699,1.0,1.0,0.002053396310657263
8,1.0,1.0,0.001140031136820726,1.0,1.0,0.0006752529297955334
9,1.0,1.0,0.0011413005370721797,1.0,1.0,0.0017844862304627895
10,1.0,1.0,0.00114195152200467,1.0,1.0,0.0010105720721185207
11,1.0,1.0,0.0011337377311803499,1.0,1.0,0.0011282425839453936
12,1.0,1.0,0.0011347252195706551,1.0,1.0,0.0007868775865063071
13,1.0,1.0,0.0011346012994597463,1.0,1.0,0.0008577281259931624
14,1.0,1.0,0.0011310879637359999,1.0,1.0,0.001652781618759036
15,1.0,1.0,0.0011293924178016788,1.0,1.0,0.0007688545738346875
16,1.0,1.0,0.0011321577401439689,1.0,1.0,0.0008275574655272067
17,1.0,1.0,0.0011302707865000188,1.0,1.0,0.0017795836320146918
18,1.0,1.0,0.0011311658313464612,1.0,1.0,0.0010006828233599663
19,1.0,1.0,0.0011291392793881872,1.0,1.0,0.0011247280053794384
20,1.0,1.0,0.0011294437754750207,1.0,1.0,0.0007587256259284914
21,1.0,1.0,0.0011286973118551987,1.0,1.0,0.0007284680032171309
22,1.0,1.0,0.0011304129663402861,1.0,1.0,0.00044327881187200546
23,1.0,1.0,0.001129466781948972,1.0,1.0,0.001029050094075501
24,1.0,1.0,0.0011290599586435825,1.0,1.0,0.0010535184992477298
25,1.0,1.0,0.001128636226844896,1.0,1.0,0.0008024837588891387
26,1.0,1.0,0.0011293420386319422,1.0,1.0,0.0009400257840752602
27,1.0,1.0,0.0011294609425277645,1.0,1.0,0.000767733552493155
28,1.0,1.0,0.0011288357098156703,1.0,1.0,0.0005998286651447415
29,1.0,1.0,0.0011286554717585648,1.0,1.0,0.0007034504087641835
30,1.0,1.0,0.0011286445547476324,1.0,1.0,0.0013076477916911244
31,1.0,1.0,0.0011277670462420128,1.0,1.0,0.001215930562466383
32,1.0,1.0,0.0011280467675255745,1.0,1.0,0.0012852679938077927
33,1.0,1.0,0.0011279929882702154,1.0,1.0,0.0020713238045573235
34,1.0,1.0,0.0011280818840132241,1.0,1.0,0.0014766022795811296
35,1.0,1.0,0.0011284626621181164,1.0,1.0,0.0009154187864623964
36,1.0,1.0,0.0011276020906548251,1.0,1.0,0.0011929135071113706
37,1.0,1.0,0.0011279414301988543,1.0,1.0,0.0007961619994603097
38,1.0,1.0,0.0011272544681930113,1.0,1.0,0.0009385927114635706
39,1.0,1.0,0.0011273260166429536,1.0,1.0,0.0019884337671101093
40,1.0,1.0,0.0011271763994447988,1.0,1.0,0.0011622242163866758
41,1.0,1.0,0.0011269701547919593,1.0,1.0,0.0008856265340000391
42,1.0,1.0,0.0011272985264453653,1.0,1.0,0.0006660638027824461
43,1.0,1.0,0.0011270689449588915,1.0,1.0,0.0016167736612260342
44,1.0,1.0,0.0011267055878659816,1.0,1.0,0.0014223686885088682
45,1.0,1.0,0.0011278628926454932,1.0,1.0,0.0016845560166984797
46,1.0,1.0,0.0011267771050391306,1.0,1.0,0.0012129157548770308
47,1.0,1.0,0.0011272150902943041,1.0,1.0,0.0006709765293635428
48,1.0,1.0,0.0011272841005157412,1.0,1.0,0.0009122309857048094
49,1.0,1.0,0.0011269707796574407,1.0,1.0,0.000557603023480624
50,1.0,1.0,0.0011268268739068592,1.0,1.0,0.0009257186320610344
51,1.0,1.0,0.0011279744487603487,1.0,1.0,0.0007860485929995775
